ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB
5116,-1288,11099,12940,13547,13607,9252,0.82,0.95
5118,-1286,11151,12847,13588,13500,9251,0.82,0.95
5118,-1297,11044,12502,13565,13133,9249,0.81,0.95
5120,-1288,11009,12725,13399,13368,9248,0.82,0.95
5120,-1317,10988,12648,13526,13284,9248,0.81,0.95
5121,-1295,11106,12950,13582,13625,9250,0.82,0.95
5122,-1298,11160,12786,13609,13435,9251,0.82,0.95
5123,-1304,11135,12851,13564,13502,9253,0.82,0.95
5124,-1337,11063,12868,13533,13527,9253,0.82,0.95
5125,-1298,11037,12961,13554,13626,9252,0.81,0.95
5126,-1315,11156,12886,13598,13553,9249,0.82,0.95
5127,-1308,11149,12714,13587,13357,9248,0.82,0.95
5128,-1293,11124,12800,13584,13462,9247,0.82,0.95
5129,-1296,10991,12892,13410,13559,9247,0.82,0.95
5130,-1308,11071,12947,13558,13615,9251,0.82,0.95
5131,-1305,11094,12931,13568,13597,9255,0.82,0.95
5132,-1318,11091,12909,13604,13576,9258,0.82,0.95
5133,-1300,11037,12975,13578,13649,9258,0.81,0.95
5134,-1327,11119,12961,13624,13638,9259,0.82,0.95
