ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FBprime,Fbprime/NB,NSCprime
4992,-1451,10336,12105,12417,12353,9166,0.83,0.98,10110.9,0.818497531,115.0246904
4991,-1476,10215,12284,12399,12554,9167,0.82,0.98,10350.2,0.824454357,-44.54357177
4992,-1478,10245,12266,12383,12529,9167,0.83,0.98,10324.7,0.824064171,59.35828877
4992,-1462,10352,12029,12444,12280,9167,0.83,0.98,10013,0.815390879,146.0912052
4991,-1446,10325,12086,12406,12341,9168,0.83,0.98,10088.3,0.817462118,125.3788186
4991,-1468,10353,12087,12437,12343,9168,0.83,0.98,10089.9,0.817459289,125.4071133
4991,-1484,10201,12357,12393,12619,9169,0.82,0.98,10442.7,0.82753784,-75.37839765
4991,-1475,10288,12250,12431,12516,9169,0.83,0.98,10304.8,0.823330137,66.69862576
4991,-1450,10229,12329,12380,12596,9169,0.83,0.98,10407.8,0.826278184,37.2181645
4992,-1483,10240,12319,12404,12583,9168,0.83,0.98,10393.9,0.82602718,39.72820472
4991,-1476,10235,12336,12404,12605,9167,0.83,0.98,10417.5,0.826457755,35.42245141
4992,-1458,10295,12235,12416,12503,9165,0.83,0.98,10285.9,0.822674558,73.25441894
4992,-1467,10274,12301,12401,12570,9166,0.83,0.98,10372,0.82513922,48.60779634
4992,-1480,10278,12292,12437,12555,9165,0.83,0.98,10358.5,0.825049781,49.50219036
4992,-1457,10232,12300,12356,12563,9162,0.83,0.98,10368.9,0.825352225,46.47775213
4992,-1464,10348,12179,12438,12432,9158,0.83,0.98,10208.6,0.821155084,88.44916345
4992,-1474,10241,12325,12418,12588,9156,0.82,0.98,10401.4,0.826294884,-62.94884017
4992,-1480,10334,12079,12421,12336,9155,0.83,0.98,10079.8,0.81710441,128.9559014
4992,-1464,10050,12003,12074,12252,9156,0.83,0.98,9978.6,0.814446621,155.5337904
4992,-1450,10337,12081,12425,12341,9157,0.83,0.98,10083.3,0.817056965,129.4303541
4992,-1465,10260,12232,12379,12492,9159,0.83,0.98,10279.6,0.822894653,71.05347422
4992,-1454,10278,12263,12378,12522,9160,0.83,0.98,10319.6,0.824117553,58.82446893
4992,-1470,10232,12289,12399,12548,9159,0.83,0.98,10353.4,0.825103602,48.96397832
